1 2 3
1 66 2
2 1 66
2 66 1
66 1 2
66 2 1
1 2 67
1 67 2
2 1 67
2 67 1
67 1 2
67 2 1
1 2 68
1 68 2
2 1 68
2 68 1
68 1 2
68 2 1
1 2 69
1 69 2
2 1 69
2 69 1
69 1 2
69 2 1
1 2 70
1 70 2
2 1 70
2 70 1
70 1 2
70 2 1
1 2 71
1 71 2
2 1 71
2 71 1
71 1 2
71 2 1
1 2 72
1 72 2
2 1 72
2 72 1
72 1 2
72 2 1
1 2 73
1 73 2
2 1 73
2 73 1
73 1 2
73 2 1
1 2 74
1 74 2
2 1 74
2 74 1
74 1 2
74 2 1
1 2 75
1 75 2
2 1 75
2 75 1
75 1 2
75 2 1
1 2 76
1 76 2
2 1 76
2 76 1
76 1 2
76 2 1
1 2 77
1 77 2
2 1 77
2 77 1
77 1 2
77 2 1
1 2 78
1 78 2
2 1 78
2 78 1
78 1 2
78 2 1
1 2 79
1 79 2
2 1 79
2 79 1
79 1 2
79 2 1
1 2 80
1 80 2
2 1 80
2 80 1
80 1 2
80 2 1
1 2 81
1 81 2
2 1 81
2 81 1
81 1 2
81 2 1
1 2 82
1 82 2
2 1 82
2 82 1
82 1 2
82 2 1
1 2 83
1 83 2
2 1 83
2 83 1
83 1 2
83 2 1
1 2 84
1 84 2
2 1 84
2 84 1
84 1 2
84 2 1
1 2 85
1 85 2
2 1 85
2 85 1
85 1 2
85 2 1
1 2 86
1 86 2
2 1 86
2 86 1
86 1 2
86 2 1
1 2 87
1 87 2
2 1 87
2 87 1
87 1 2
87 2 1
1 2 88
1 88 2
2 1 88
2 88 1
88 1 2
88 2 1
1 2 89
1 89 2
2 1 89
2 89 1
89 1 2
89 2 1
1 2 90
1 90 2
2 1 90
2 90 1
90 1 2
90 2 1
1 2 91
1 91 2
2 1 91
2 91 1
91 1 2
91 2 1
1 2 92
1 92 2
2 1 92
2 92 1
92 1 2
92 2 1
1 2 93
1 93 2
2 1 93
2 93 1
93 1 2
93 2 1
1 2 94
1 94 2
2 1 94
2 94 1
94 1 2
94 2 1
1 2 95
1 95 2
2 1 95
2 95 1
95 1 2
95 2 1
1 2 96
1 96 2
2 1 96
2 96 1
96 1 2
96 2 1
1 2 97
1 97 2
2 1 97
2 97 1
97 1 2
97 2 1
1 2 98
1 98 2
2 1 98
2 98 1
98 1 2
98 2 1
1 2 99
1 99 2
2 1 99
2 99 1
99 1 2
99 2 1
1 2 100
1 100 2
2 1 100
2 100 1
100 1 2
100 2 1
1 2 101
1 101 2
2 1 101
2 101 1
101 1 2
101 2 1
1 2 102
1 102 2
2 1 102
2 102 1
102 1 2
102 2 1
1 2 103
1 103 2
2 1 103
2 103 1
103 1 2
103 2 1
1 2 104
1 104 2
2 1 104
2 104 1
104 1 2
104 2 1
1 2 105
1 105 2
2 1 105
2 105 1
105 1 2
105 2 1
1 2 106
1 106 2
2 1 106
2 106 1
106 1 2
106 2 1
1 2 107
1 107 2
2 1 107
2 107 1
107 1 2
107 2 1
1 2 108
1 108 2
2 1 108
2 108 1
108 1 2
108 2 1
1 2 109
1 109 2
2 1 109
2 109 1
109 1 2
109 2 1
1 2 110
1 110 2
2 1 110
2 110 1
110 1 2
110 2 1
1 2 111
1 111 2
2 1 111
2 111 1
111 1 2
111 2 1
1 2 112
1 112 2
2 1 112
2 112 1
112 1 2
112 2 1
1 2 113
1 113 2
2 1 113
2 113 1
113 1 2
113 2 1
1 2 114
1 114 2
2 1 114
2 114 1
114 1 2
114 2 1
1 2 115
1 115 2
2 1 115
2 115 1
115 1 2
115 2 1
1 2 116
1 116 2
2 1 116
2 116 1
116 1 2
116 2 1
1 2 117
1 117 2
2 1 117
2 117 1
117 1 2
117 2 1
1 2 118
1 118 2
2 1 118
2 118 1
118 1 2
118 2 1
1 2 119
1 119 2
2 1 119
2 119 1
119 1 2
119 2 1
1 2 120
1 120 2
2 1 120
2 120 1
120 1 2
120 2 1
1 2 121
1 121 2
2 1 121
2 121 1
121 1 2
121 2 1
1 2 122
1 122 2
2 1 122
2 122 1
122 1 2
122 2 1
1 2 123
1 123 2
2 1 123
2 123 1
123 1 2
123 2 1
1 2 124
1 124 2
2 1 124
2 124 1
124 1 2
124 2 1
1 2 125
1 125 2
2 1 125
2 125 1
125 1 2
125 2 1
1 2 126
1 126 2
2 1 126
2 126 1
126 1 2
126 2 1
1 2 127
1 127 2
2 1 127
2 127 1
127 1 2
127 2 1
1 2 128
1 128 2
2 1 128
2 128 1
128 1 2
128 2 1
1 2 129
1 129 2
2 1 129
2 129 1
129 1 2
129 2 1
1 2 130
1 130 2
2 1 130
2 130 1
130 1 2
130 2 1
1 2 131
1 131 2
2 1 131
2 131 1
131 1 2
131 2 1
1 2 132
1 132 2
2 1 132
2 132 1
132 1 2
132 2 1
1 2 133
1 133 2
2 1 133
2 133 1
133 1 2
133 2 1
1 2 134
1 134 2
2 1 134
2 134 1
134 1 2
134 2 1
1 2 135
1 135 2
2 1 135
2 135 1
135 1 2
135 2 1
1 2 136
1 136 2
2 1 136
2 136 1
136 1 2
136 2 1
1 2 137
1 137 2
2 1 137
2 137 1
137 1 2
137 2 1
1 2 138
1 138 2
2 1 138
2 138 1
138 1 2
138 2 1
1 2 139
1 139 2
2 1 139
2 139 1
139 1 2
139 2 1
1 2 140
1 140 2
2 1 140
2 140 1
140 1 2
140 2 1
1 2 141
1 141 2
2 1 141
2 141 1
141 1 2
141 2 1
1 2 142
1 142 2
2 1 142
2 142 1
142 1 2
142 2 1
1 2 143
1 143 2
2 1 143
2 143 1
143 1 2
143 2 1
1 2 144
1 144 2
2 1 144
2 144 1
144 1 2
144 2 1
1 2 145
1 145 2
2 1 145
2 145 1
145 1 2
145 2 1
1 2 146
1 146 2
2 1 146
2 146 1
146 1 2
146 2 1
1 2 147
1 147 2
2 1 147
2 147 1
147 1 2
147 2 1
1 2 148
1 148 2
2 1 148
2 148 1
148 1 2
148 2 1
1 2 149
1 149 2
2 1 149
2 149 1
149 1 2
149 2 1
1 2 150
1 150 2
2 1 150
2 150 1
150 1 2
150 2 1
1 3 4
1 4 3
3 1 4
3 4 1
4 1 3
4 3 1
1 3 5
1 5 3
3 1 5
3 5 1
5 1 3
5 3 1
1 3 6
1 6 3
3 1 6
3 6 1
6 1 3
6 3 1
1 3 7
1 7 3
3 1 7
3 7 1
7 1 3
7 3 1
1 3 8
1 8 3
3 1 8
3 8 1
8 1 3
8 3 1
1 3 9
1 9 3
3 1 9
3 9 1
9 1 3
9 3 1
1 3 10
1 10 3
3 1 10
3 10 1
10 1 3
10 3 1
1 3 11
1 11 3
3 1 11
3 11 1
11 1 3
11 3 1
1 3 12
1 12 3
3 1 12
3 12 1
12 1 3
12 3 1
1 3 13
1 13 3
3 1 13
3 13 1
13 1 3
13 3 1
1 3 14
1 14 3
3 1 14
3 14 1
14 1 3
14 3 1
1 3 15
1 15 3
3 1 15
3 15 1
15 1 3
15 3 1
1 3 16
1 16 3
3 1 16
3 16 1
16 1 3
16 3 1
1 3 17
1 17 3
3 1 17
3 17 1
17 1 3
17 3 1
1 3 18
1 18 3
3 1 18
3 18 1
18 1 3
18 3 1
1 3 19
1 19 3
3 1 19
3 19 1
19 1 3
19 3 1
1 3 20
1 20 3
3 1 20
3 20 1
20 1 3
20 3 1
1 3 21
1 21 3
3 1 21
3 21 1
21 1 3
21 3 1
1 3 22
1 22 3
3 1 22
3 22 1
22 1 3
22 3 1
1 3 23
1 23 3
3 1 23
3 23 1
23 1 3
23 3 1
1 3 24
1 24 3
3 1 24
3 24 1
24 1 3
24 3 1
1 3 25
1 25 3
3 1 25
3 25 1
25 1 3
25 3 1
1 3 26
1 26 3
3 1 26
3 26 1
26 1 3
26 3 1
1 3 27
1 27 3
3 1 27
3 27 1
27 1 3
27 3 1
1 3 28
1 28 3
3 1 28
3 28 1
28 1 3
28 3 1
1 3 29
1 29 3
3 1 29
3 29 1
29 1 3
29 3 1
1 3 30
1 30 3
3 1 30
3 30 1
30 1 3
30 3 1
1 3 31
1 31 3
3 1 31
3 31 1
31 1 3
31 3 1
1 3 32
1 32 3
3 1 32
3 32 1
32 1 3
32 3 1
1 3 33
1 33 3
3 1 33
3 33 1
33 1 3
33 3 1
1 3 34
1 34 3
3 1 34
3 34 1
34 1 3
34 3 1
1 3 35
1 35 3
3 1 35
3 35 1
35 1 3
35 3 1
1 3 36
1 36 3
3 1 36
3 36 1
36 1 3
36 3 1
1 3 37
1 37 3
3 1 37
3 37 1
37 1 3
37 3 1
1 3 38
1 38 3
3 1 38
3 38 1
38 1 3
38 3 1
1 3 39
1 39 3
3 1 39
3 39 1
39 1 3
39 3 1
1 3 40
1 40 3
3 1 40
3 40 1
40 1 3
40 3 1
1 3 41
1 41 3
3 1 41
3 41 1
41 1 3
41 3 1
1 3 42
1 42 3
3 1 42
3 42 1
42 1 3
42 3 1
1 3 43
1 43 3
3 1 43
3 43 1
43 1 3
43 3 1
1 3 44
1 44 3
3 1 44
3 44 1
44 1 3
44 3 1
1 3 45
1 45 3
3 1 45
3 45 1
45 1 3
45 3 1
1 3 46
1 46 3
3 1 46
3 46 1
46 1 3
46 3 1
1 3 47
1 47 3
3 1 47
3 47 1
47 1 3
47 3 1
1 3 48
1 48 3
3 1 48
3 48 1
48 1 3
48 3 1
1 3 49
1 49 3
3 1 49
3 49 1
49 1 3
49 3 1
1 3 50
1 50 3
3 1 50
3 50 1
50 1 3
50 3 1
1 3 51
1 51 3
3 1 51
3 51 1
51 1 3
51 3 1
1 3 52
1 52 3
3 1 52
3 52 1
52 1 3
52 3 1
1 3 53
1 53 3
3 1 53
3 53 1
53 1 3
53 3 1
1 3 54
1 54 3
3 1 54
3 54 1
54 1 3
54 3 1
1 3 55
1 55 3
3 1 55
3 55 1
55 1 3
55 3 1
1 3 56
1 56 3
3 1 56
3 56 1
56 1 3
56 3 1
1 3 57
1 57 3
3 1 57
3 57 1
57 1 3
57 3 1
1 3 58
1 58 3
3 1 58
3 58 1
58 1 3
58 3 1
1 3 59
1 59 3
3 1 59
3 59 1
59 1 3
59 3 1
1 3 60
1 60 3
3 1 60
3 60 1
60 1 3
60 3 1
1 3 61
1 61 3
3 1 61
3 61 1
61 1 3
61 3 1
1 3 62
1 62 3
3 1 62
3 62 1
62 1 3
62 3 1
1 3 63
1 63 3
3 1 63
3 63 1
63 1 3
63 3 1
1 3 64
1 64 3
3 1 64
3 64 1
64 1 3
64 3 1
1 3 65
1 65 3
3 1 65
3 65 1
65 1 3
65 3 1
1 3 66
1 66 3
3 1 66
3 66 1
66 1 3
66 3 1
1 3 67
1 67 3
3 1 67
3 67 1
67 1 3
67 3 1
1 3 68
1 68 3
3 1 68
3 68 1
68 1 3
68 3 1
1 3 69
1 69 3
3 1 69
3 69 1
69 1 3
69 3 1
1 3 70
1 70 3
3 1 70
3 70 1
70 1 3
70 3 1
1 3 71
1 71 3
3 1 71
3 71 1
71 1 3
71 3 1
1 3 72
1 72 3
3 1 72
3 72 1
72 1 3
72 3 1
1 3 73
1 73 3
3 1 73
3 73 1
73 1 3
73 3 1
1 3 74
1 74 3
3 1 74
3 74 1
74 1 3
74 3 1
1 3 75
1 75 3
3 1 75
3 75 1
75 1 3
75 3 1
1 3 76
1 76 3
3 1 76
3 76 1
76 1 3
76 3 1
1 3 77
1 77 3
3 1 77
3 77 1
77 1 3
77 3 1
1 3 78
1 78 3
3 1 78
3 78 1
78 1 3
78 3 1
1 3 79
1 79 3
3 1 79
3 79 1
79 1 3
79 3 1
1 3 80
1 80 3
3 1 80
3 80 1
80 1 3
80 3 1
1 3 81
1 81 3
3 1 81
3 81 1
81 1 3
81 3 1
1 3 82
1 82 3
3 1 82
3 82 1
82 1 3
82 3 1
1 3 83
1 83 3
3 1 83
3 83 1
83 1 3
83 3 1
1 3 84
1 84 3
3 1 84
3 84 1
84 1 3
84 3 1
1 3 85
1 85 3
3 1 85
3 85 1
85 1 3
85 3 1
1 3 86
1 86 3
3 1 86
3 86 1
86 1 3
86 3 1
1 3 87
1 87 3
3 1 87
3 87 1
87 1 3
87 3 1
1 3 88
1 88 3
3 1 88
3 88 1
88 1 3
88 3 1
1 3 89
1 89 3
3 1 89
3 89 1
89 1 3
89 3 1
1 3 90
1 90 3
3 1 90
3 90 1
90 1 3
90 3 1
1 3 91
1 91 3
3 1 91
3 91 1
91 1 3
91 3 1
1 3 92
1 92 3
3 1 92
3 92 1
92 1 3
92 3 1
1 3 93
1 93 3
3 1 93
3 93 1
93 1 3
93 3 1
1 3 94
1 94 3
3 1 94
3 94 1
94 1 3
94 3 1
1 3 95
1 95 3
3 1 95
3 95 1
95 1 3
95 3 1
1 3 96
1 96 3
3 1 96
3 96 1
96 1 3
96 3 1
1 3 97
1 97 3
3 1 97
3 97 1
97 1 3
97 3 1
1 3 98
1 98 3
3 1 98
3 98 1
98 1 3
98 3 1
1 3 99
1 99 3
3 1 99
3 99 1
99 1 3
99 3 1
1 3 100
1 100 3
3 1 100
3 100 1
100 1 3
100 3 1
1 3 101
1 101 3
3 1 101
3 101 1
101 1 3
101 3 1
1 3 102
1 102 3
3 1 102
3 102 1
102 1 3
102 3 1
1 3 103
1 103 3
3 1 103
3 103 1
103 1 3
103 3 1
1 3 104
1 104 3
3 1 104
3 104 1
104 1 3
104 3 1
1 3 105
1 105 3
3 1 105
3 105 1
105 1 3
105 3 1
1 3 106
1 106 3
3 1 106
3 106 1
106 1 3
106 3 1
1 3 107
1 107 3
3 1 107
3 107 1
107 1 3
107 3 1
1 3 108
1 108 3
3 1 108
3 108 1
108 1 3
108 3 1
1 3 109
1 109 3
3 1 109
3 109 1
109 1 3
109 3 1
1 3 110
1 110 3
3 1 110
3 110 1
110 1 3
110 3 1
1 3 111
1 111 3
3 1 111
3 111 1
111 1 3
111 3 1
1 3 112
1 112 3
3 1 112
3 112 1
112 1 3
112 3 1
1 3 113
1 113 3
3 1 113
3 113 1
113 1 3
113 3 1
1 3 114
1 114 3
3 1 114
3 114 1
114 1 3
114 3 1
1 3 115
1 115 3
3 1 115
3 115 1
115 1 3
115 3 1
1 3 116
1 116 3
3 1 116
3 116 1
116 1 3
116 3 1
1 3 117
1 117 3
3 1 117
3 117 1
117 1 3
117 3 1
1 3 118
1 118 3
3 1 118
3 118 1
118 1 3
118 3 1
1 3 119
1 119 3
3 1 119
3 119 1
119 1 3
119 3 1
1 3 120
1 120 3
3 1 120
3 120 1
120 1 3
120 3 1
1 3 121
1 121 3
3 1 121
3 121 1
121 1 3
121 3 1
1 3 122
1 122 3
3 1 122
3 122 1
122 1 3
122 3 1
1 3 123
1 123 3
3 1 123
3 123 1
123 1 3
123 3 1
1 3 124
1 124 3
3 1 124
3 124 1
124 1 3
124 3 1
1 3 125
1 125 3
3 1 125
3 125 1
125 1 3
125 3 1
1 3 126
1 126 3
3 1 126
3 126 1
126 1 3
126 3 1
1 3 127
1 127 3
3 1 127
3 127 1
127 1 3
127 3 1
1 3 128
1 128 3
3 1 128
3 128 1
128 1 3
128 3 1
1 3 129
1 129 3
3 1 129
3 129 1
129 1 3
129 3 1
1 3 130
1 130 3
3 1 130
3 130 1
130 1 3
130 3 1
1 3 131
1 131 3
3 1 131
3 131 1
131 1 3
131 3 1
1 3 132
1 132 3
3 1 132
3 132 1
132 1 3
132 3 1
1 3 133
1 133 3
3 1 133
3 133 1
133 1 3
133 3 1
1 3 134
1 134 3
3 1 134
3 134 1
134 1 3
134 3 1
1 3 135
1 135 3
3 1 135
3 135 1
135 1 3
135 3 1
1 3 136
1 136 3
3 1 136
3 136 1
136 1 3
136 3 1
1 3 137
1 137 3
3 1 137
3 137 1
137 1 3
137 3 1
1 3 138
1 138 3
3 1 138
3 138 1
138 1 3
138 3 1
1 3 139
1 139 3
3 1 139
3 139 1
139 1 3
139 3 1
1 3 140
1 140 3
3 1 140
3 140 1
140 1 3
140 3 1
1 3 141
1 141 3
3 1 141
3 141 1
141 1 3
141 3 1
1 3 142
1 142 3
3 1 142
3 142 1
142 1 3
142 3 1
1 3 143
1 143 3
3 1 143
3 143 1
143 1 3
143 3 1
1 3 144
1 144 3
3 1 144
3 144 1
144 1 3
144 3 1
1 3 145
1 145 3
3 1 145
3 145 1
145 1 3
145 3 1
1 3 146
1 146 3
3 1 146
3 146 1
146 1 3
146 3 1
1 3 147
1 147 3
3 1 147
3 147 1
147 1 3
147 3 1
1 3 148
1 148 3
3 1 148
3 148 1
148 1 3
148 3 1
1 3 149
1 149 3
3 1 149
3 149 1
149 1 3
149 3 1
1 3 150
1 150 3
3 1 150
3 150 1
150 1 3
150 3 1
1 4 5
1 5 4
4 1 5
4 5 1
5 1 4
5 4 1
1 4 6
1 6 4
4 1 6
4 6 1
6 1 4
6 4 1
1 4 7
1 7 4
4 1 7
4 7 1
7 1 4
7 4 1
1 4 8
1 8 4
4 1 8
4 8 1
8 1 4
8 4 1
1 4 9
1 9 4
4 1 9
4 9 1
9 1 4
9 4 1
1 4 10
1 10 4
4 1 10
4 10 1
10 1 4
10 4 1
1 4 11
1 11 4
4 1 11
4 11 1
11 1 4
11 4 1
1 4 12
1 12 4
4 1 12
4 12 1
12 1 4
12 4 1
1 4 13
1 13 4
4 1 13
4 13 1
13 1 4
13 4 1
1 4 14
1 14 4
4 1 14
4 14 1
14 1 4
14 4 1
1 4 15
1 15 4
4 1 15
4 15 1
15 1 4
15 4 1
1 4 16
1 16 4
4 1 16
4 16 1
16 1 4
16 4 1
1 4 17
1 17 4
4 1 17
4 17 1
17 1 4
17 4 1
1 4 18
1 18 4
4 1 18
4 18 1
18 1 4
18 4 1
1 4 19
1 19 4
4 1 19
4 19 1
19 1 4
19 4 1
1 4 20
1 20 4
4 1 20
4 20 1
20 1 4
20 4 1
1 4 21
1 21 4
4 1 21
4 21 1
21 1 4
21 4 1
1 4 22
1 22 4
4 1 22
4 22 1
22 1 4
22 4 1
1 4 23
1 23 4
4 1 23
4 23 1
23 1 4
23 4 1
1 4 24
1 24 4
4 1 24
4 24 1
24 1 4
24 4 1
1 4 25
1 25 4
4 1 25
4 25 1
25 1 4
25 4 1
1 4 26
1 26 4
4 1 26
4 26 1
26 1 4
26 4 1
1 4 27
1 27 4
4 1 27
4 27 1
27 1 4
27 4 1
1 4 28
1 28 4
4 1 28
4 28 1
28 1 4
28 4 1
1 4 29
1 29 4
4 1 29
4 29 1
29 1 4
29 4 1
1 4 30
1 30 4
4 1 30
4 30 1
30 1 4
30 4 1
1 4 31
1 31 4
4 1 31
4 31 1
31 1 4
31 4 1
1 4 32
1 32 4
4 1 32
4 32 1
32 1 4
32 4 1
1 4 33
1 33 4
4 1 33
4 33 1
33 1 4
33 4 1
1 4 34
1 34 4
4 1 34
4 34 1
34 1 4
34 4 1
1 4 35
1 35 4
4 1 35
4 35 1
35 1 4
35 4 1
1 4 36
1 36 4
4 1 36
4 36 1
36 1 4
36 4 1
1 4 37
1 37 4
4 1 37
4 37 1
37 1 4
37 4 1
1 4 38
1 38 4
4 1 38
4 38 1
38 1 4
38 4 1
1 4 39
1 39 4
4 1 39
4 39 1
39 1 4
39 4 1
1 4 40
1 40 4
4 1 40
4 40 1
40 1 4
40 4 1
1 4 41
1 41 4
4 1 41
4 41 1
41 1 4
41 4 1
1 4 42
1 42 4
4 1 42
4 42 1
42 1 4
42 4 1
1 4 43
1 43 4
4 1 43
4 43 1
43 1 4
43 4 1
1 4 44
1 44 4
4 1 44
4 44 1
44 1 4
44 4 1
1 4 45
1 45 4
4 1 45
4 45 1
45 1 4
45 4 1
1 4 46
1 46 4
4 1 46
4 46 1
46 1 4
46 4 1
1 4 47
1 47 4
4 1 47
4 47 1
47 1 4
47 4 1
1 4 48
1 48 4
4 1 48
4 48 1
48 1 4
48 4 1
1 4 49
1 49 4
4 1 49
4 49 1
49 1 4
49 4 1
1 4 50
1 50 4
4 1 50
4 50 1
50 1 4
50 4 1
1 4 51
1 51 4
4 1 51
4 51 1
51 1 4
51 4 1
1 4 52
1 52 4
4 1 52
4 52 1
52 1 4
52 4 1
1 4 53
1 53 4
4 1 53
4 53 1
53 1 4
53 4 1
1 4 54
1 54 4
4 1 54
4 54 1
54 1 4
54 4 1
1 4 55
1 55 4
4 1 55
4 55 1
55 1 4
55 4 1
1 4 56
1 56 4
4 1 56
4 56 1
56 1 4
56 4 1
1 4 57
1 57 4
4 1 57
4 57 1
57 1 4
57 4 1
1 4 58
1 58 4
4 1 58
4 58 1
58 1 4
58 4 1
1 4 59
1 59 4
4 1 59
4 59 1
59 1 4
59 4 1
1 4 60
1 60 4
4 1 60
4 60 1
60 1 4
60 4 1
1 4 61
1 61 4
4 1 61
4 61 1
61 1 4
61 4 1
1 4 62
1 62 4
4 1 62
4 62 1
62 1 4
62 4 1
1 4 63
1 63 4
4 1 63
4 63 1
63 1 4
63 4 1
1 4 64
1 64 4
4 1 64
4 64 1
64 1 4
64 4 1
1 4 65
1 65 4
4 1 65
4 65 1
65 1 4
65 4 1
1 4 66
1 66 4
4 1 66
4 66 1
66 1 4
66 4 1
1 4 67
1 67 4
4 1 67
4 67 1
67 1 4
67 4 1
1 4 68
1 68 4
4 1 68
4 68 1
68 1 4
68 4 1
1 4 69
1 69 4
4 1 69
4 69 1
69 1 4
69 4 1
1 4 70
1 70 4
4 1 70
4 70 1
70 1 4
70 4 1
1 4 71
1 71 4
4 1 71
4 71 1
71 1 4
71 4 1
1 4 72
1 72 4
4 1 72
4 72 1
72 1 4
72 4 1
1 4 73
1 73 4
4 1 73
4 73 1
73 1 4
73 4 1
1 4 74
1 74 4
4 1 74
4 74 1
74 1 4
74 4 1
1 4 75
1 75 4
4 1 75
4 75 1
75 1 4
75 4 1
1 4 76
1 76 4
4 1 76
4 76 1
76 1 4
76 4 1
1 4 77
1 77 4
4 1 77
4 77 1
77 1 4
77 4 1
1 4 78
1 78 4
4 1 78
4 78 1
78 1 4
78 4 1
1 4 79
1 79 4
4 1 79
4 79 1
79 1 4
79 4 1
1 4 80
1 80 4
4 1 80
4 80 1
80 1 4
80 4 1
1 4 81
1 81 4
4 1 81
4 81 1
81 1 4
81 4 1
1 4 82
1 82 4
4 1 82
4 82 1
82 1 4
82 4 1
1 4 83
1 83 4
4 1 83
4 83 1
83 1 4
83 4 1
1 4 84
1 84 4
4 1 84
4 84 1
84 1 4
84 4 1
1 4 85
1 85 4
4 1 85
4 85 1
85 1 4
85 4 1
1 4 86
1 86 4
4 1 86
4 86 1
86 1 4
86 4 1
1 4 87
1 87 4
4 1 87
4 87 1
87 1 4
87 4 1
1 4 88
1 88 4
4 1 88
4 88 1
88 1 4
88 4 1
1 4 89
1 89 4
4 1 89
4 89 1
89 1 4
89 4 1
1 4 90
1 90 4
4 1 90
4 90 1
90 1 4
90 4 1
1 4 91
1 91 4
4 1 91
4 91 1
91 1 4
91 4 1
1 4 92
1 92 4
4 1 92
4 92 1
92 1 4
92 4 1
1 4 93
1 93 4
4 1 93
4 93 1
93 1 4
93 4 1
1 4 94
1 94 4
4 1 94
4 94 1
94 1 4
94 4 1
1 4 95
1 95 4
4 1 95
4 95 1
95 1 4
95 4 1
1 4 96
1 96 4
4 1 96
4 96 1
96 1 4
96 4 1
1 4 97
1 97 4
4 1 97
4 97 1
97 1 4
97 4 1
1 4 98
1 98 4
4 1 98
4 98 1
